full_address,org_name,province_name,longitude,latitude
"Москва, Садовническая улица, 42, стр. 1",Surf Coffee X Studio,Москва,37.632601,55.742549
"Москва, Лесная улица, 43",Surf coffee,Москва,37.586571,55.778274
"Москва, улица Земляной Вал, 33",Surf Coffee,Москва,37.655068,55.755023
"Москва, Новоясеневский проспект, 11","Surf coffee X Shine, точка по продаже кофе",Москва,37.532179,55.604346
"Москва, улица Бутырский Вал, 4",Surf Coffee,Москва,37.581218,55.775029
"Москва, 1-я улица Леонова, 18",Surf Coffee,Москва,37.635116,55.842721
"Москва, 1-я улица Ямского Поля, 1, корп. 1",Surf Coffee,Москва,37.57757,55.776958
"Москва, 1-й Голутвинский переулок, вл. 9",Surf Coffee,Москва,37.607026,55.73431899999375
"Москва, улица Сущёвский Вал, 49, стр. 2",Surf Coffee X Jazz,Москва,37.607673,55.791127
"Москва, Бумажный проезд, 19, стр. 1",Surf Coffee X Cutback,Москва,37.58164,55.787204
"Москва, Мясницкая, 16",Surf Coffee,Москва,37.628406,55.75861
"Москва, Мосфильмовская улица, 98, корп. 1",Surf Coffee,Москва,37.470428,55.696311
"Москва, улица Маршала Бирюзова, 18",Surf Coffee,Москва,37.487038,55.792706
"Москва, улица Дыбенко, 7/1",Surf Coffee,Москва,37.47501,55.876228
"Москва, Ильменский проезд, 14к3",Surf Coffee,Москва,37.541189,55.858357
"Москва, поселение Сосенское, деревня Сосенки, Ясеневая улица, 3",Surf Coffee,Москва,37.438951,55.565992
"Москва, Никольская улица, 8/1с1",Surf Coffee,Москва,37.61901,55.754314
"Москва, Большая Почтовая улица, 28, корп. 3",Surf Coffee,Москва,37.694288,55.777267
"Москва, Огородный проезд, 16/1с3",Surf Coffee,Москва,37.59939,55.813713
"Москва, Ломоносовский проспект, 25, корп. 5",Surf Coffee,Москва,37.527453,55.690019
"Москва, Причальный проезд, 10, корп. 2",Surf Coffee,Москва,37.512218,55.758473
"Москва, Новорязанская улица, 23, стр. 1",Surf coffee,Москва,37.659218,55.770395
"Москва, 1-я Тверская-Ямская улица, 10",Surf Coffee X Republic,Москва,37.588799,55.769879
"Москва, Зеленодольская улица, 42",Surf Coffee X Kuzminki,Москва,37.760422,55.699538
"Москва, улица Солянка, 1/2с1",Surf Coffee,Москва,37.633419,55.751715
"Москва, Ладожская улица, 7А",Surf Coffee X Science District,Москва,37.678936,55.769327
"Москва, улица Мусоргского, 5, корп. 2",Surf Coffee X Botanica,Москва,37.616279,55.861317
"Москва, Ленинградское шоссе, 69, корп. 2",Surf coffee,Москва,37.45266,55.866364
"Москва, Ленинградское шоссе, 80",Surf Coffee X Swallow,Москва,37.472225,55.845577
"Москва, улица Берзарина, 32",Surf coffee X campus,Москва,37.466071,55.788469
"Москва, Новомосковский административный округ, район Коммунарка, Киевское шоссе, 23-й километр, 1",Surf Coffee,Москва,37.417931,55.621465
"Москва, Красная площадь",Surf Coffee,Москва,37.618013,55.751928
"Москва, Новомосковский административный округ, район Коммунарка, Скандинавский бульвар, 12",Surf Coffee,Москва,37.496345,55.560667
"Москва, улица Дмитрия Ульянова, 4, корп. 1",Surf Coffee,Москва,37.553406,55.691075
"Москва, улица Новый Арбат, 7, стр. 1",Surf Coffee,Москва,37.593399,55.750251
"Москва, улица Народного Ополчения, 15, стр. 5","Surf Coffee X North West, кофейня",Москва,37.469799,55.771211
"Москва, Новинский бульвар, 7",Surf Coffee,Москва,37.578514,55.749359
"Москва, Крымская набережная, вл2",Surf Coffee,Москва,37.601825,55.732418
"Москва, Багратионовский проезд, 5А, корп. 1","Surf Coffee X Industrial, кофейня",Москва,37.506154,55.741019
"Москва, 2-я Останкинская улица, 3",Surf Coffee X Vdnkh,Москва,37.624831,55.823778
"Москва, Берсеневская набережная, 14, стр. 8",Кофейня Surf Coffee на Берсеневской набережной,Москва,37.605167,55.740102
"Москва, улица Земляной Вал, 25",Surf Coffee,Москва,37.65408,55.75742
"Москва, улица Академика Павлова, 28",Surf Coffee,Москва,37.403216,55.744151
"Москва, Каширское шоссе, 65, корп. 2","Surf Coffee X Master, кофейня",Москва,37.720618,55.597403
"Москва, улица Лобачевского, 124, корп. 1",Surf Coffee,Москва,37.470419,55.696291
"Москва, Пятницкая улица, 27, стр. 3А",Surf Coffee X Friday,Москва,37.624175,55.738951
"Москва, Таганская улица, 1/2с2",Surf Coffee X Marx,Москва,37.653209,55.739118
"Москва, Ленинградский проспект, 66",Surf Coffee,Москва,37.521902,55.800448
"Москва, Дубининская улица, 59А, подъезд 3",Surf coffee X happiness,Москва,37.63491,55.717797
"Москва, Центральный административный округ, Пресненский район",Surf Coffee X Afimall,Москва,37.559963,55.762693
"Москва, 1-й Красногвардейский проезд, 21с1",Surf Coffee X okko,Москва,37.530337,55.747667
"Москва, Мантулинская улица, 5, стр. 11",Surf Coffee,Москва,37.550801,55.753828
"Москва, Осенний бульвар, 10, корп. 1",Surf Coffee,Москва,37.404896,55.754588
"Москва, 1-й Котляковский переулок, 2А, корп. 2","Surf Coffee X La Vida, кофейня",Москва,37.624202,55.649672
"Москва, Андреевский автодорожный мост",Surf Coffee,Москва,37.575504,55.713385
"Москва, улица Красная Пресня, 30, стр. 1",Surf Coffee & Revolution,Москва,37.564069,55.759968
"Москва, Большая Новодмитровская улица, 36, стр. 8",Surf Coffee,Москва,37.580544,55.803474
"Москва, Новокузнецкая улица, 24, стр. 3А",Surf coffee X Lagom,Москва,37.62793,55.733072
"Москва, Новоданиловская набережная, 8",Surf Coffee,Москва,37.620591,55.694992
"Москва, Аминьевское шоссе, 6",Surf Coffee X Aerobic,Москва,37.452723,55.704981
"Москва, Верхняя Радищевская улица, 13, стр. 1",Surf Coffee X Tag,Москва,37.647369,55.741368
"Москва, проезд Аэропорта, 8, стр. 9",Surf Coffee,Москва,37.518057,55.795595
"Москва, Садовническая улица",Surf Coffee X Yandex,Москва,37.625657,55.734674
"Москва, Большая Татарская улица, 5, стр. 5",Surf Coffee,Москва,37.628038,55.740431
"Москва, улица Остоженка, 3/14",Surf Coffee,Москва,37.597854,55.741541
"Москва, Шелепихинская набережная, 34к1зд5",Surf Coffee X Grain,Москва,37.50946,55.758651
"Москва, улица Куусинена, 7, корп. 2",Surf coffee X Otto,Москва,37.511203,55.777879
"Москва, Лобненская улица, 13, корп. 2",Surf coffee X Senlin,Москва,37.523195,55.886115
"Москва, улица Маршала Сергеева, 3","Surf coffee X Youth, кофейня",Москва,37.414607,55.73442
"Москва, Нагорный проезд, 6",Surf Coffee,Москва,37.615003,55.687492
"Москва, Зубовский бульвар, 25, корп. 1",Surf Coffee × Strana,Москва,37.585574,55.734309
"Москва, улица Крымский Вал, 9, стр. 45",Surf Coffee,Москва,37.596785,55.730274
"Москва, улица Сретенка, 27, стр. 1",Surf Coffee,Москва,37.62802,55.768978
"Москва, улица Новый Арбат, 24",Surf Coffee,Москва,37.583517,55.750768
"Москва, Тверская улица, 18, корп. 1",Surf Coffee,Москва,37.6001,55.763817
"Москва, Никольская улица, 8",Surf Coffee X Nikola,Москва,37.618938,55.754973
"Москва, Краснопрудная улица, 22-24",Surf Coffee,Москва,37.661078,55.77637
"Москва, Нижний Сусальный переулок, 5, стр. 2","Surf Coffee X Arma, кофейня",Москва,37.658248,55.758129
"Москва, Неглинная улица, 14, стр. 1А",Surf Coffee,Москва,37.616288,55.761958
"Москва, улица Декабристов, 17",Surf Coffee,Москва,37.600882,55.86257
"Москва, Ладожская улица, 7",Surf Coffee,Москва,37.678478,55.769312
"Москва, Страстной бульвар, 8А",Surf Coffee X Flow,Москва,37.606631,55.763933
"Москва, Милютинский переулок, 2/9",‪Surf Coffee‬,Москва,37.627831,55.759122
"Москва, проспект Вернадского, 29",Surf Coffee X Lumière,Москва,37.512344,55.679392
"Москва, Новоданиловская набережная, 8, корп. 1","Surf Coffee X Radio, кофейня",Москва,37.620645,55.69416
"Москва, Измайловское шоссе, 73Ж, стр. 34",Surf Coffee,Москва,37.748475,55.791061
"Москва, Садовническая улица, 82, стр. 2",Surf Coffee,Москва,37.638279,55.7333
"Москва, Бумажный проезд, 19, стр. 2",Surf Coffee,Москва,37.581523,55.787548
"Москва, Арбатский переулок",Surf Coffee,Москва,37.596848,55.751366
"Москва, улица Усачёва, 62",Surf Coffee,Москва,37.558769,55.722548
"Москва, Долгоруковская улица, 5",Surf coffee,Москва,37.599498,55.771044
"Москва, улица Миклухо-Маклая, 43",Surf Coffee,Москва,37.519674,55.641783
"Москва, Пресненская набережная, 12",Surf Coffee X Anthill,Москва,37.533328,55.747317
"Москва, 1-й Красногвардейский проезд, 21, стр. 1",Surf Coffee X Okko,Москва,37.530301,55.747713
"Москва, Озёрная улица, 44",Surf Coffee X Lake,Москва,37.43614,55.665345
"Москва, 1-й Обыденский переулок, 14",Surf Coffee X Pi,Москва,37.597998,55.741171
"Москва, пр-т Вернадского, 86 А",Surf Coffee,Москва,37.476896,55.660704
"Москва, Нижний Сусальный переулок, 5, стр. 1",Surf Coffee X Arma,Москва,37.658895,55.75898
"Москва, Пресненская набережная, 10А",Surf Coffee,Москва,37.532646,55.744394
"Москва, улица Нижние Мнёвники, 9, подъезд 2",Surf Coffee X Trinity,Москва,37.451384,55.751715
"Москва, Новокузнецкая улица, 6",Surf Coffee,Москва,37.625684,55.736088
"Москва, улица Покровка, 31, стр. 1",Surf Coffee,Москва,37.645528,55.758382
"Москва, Электролитный проезд, корп. 3, стр. 7",Surf Coffee,Москва,37.60646,55.672986
"Москва, проспект Андропова, 28",Surf Coffee X Moon,Москва,37.658518,55.677656
